race_id,race_name,horse_no,gate_no,horse_name,jockey_name,rank_in_race,signal,印,mark,recommendation,ability_score,win_prob,top3_prob,win_ev,win_odds
20260425_KYOTO_10,観月橋S 【見送りC:大混戦】,4,4,ピエマンソン,幸,2,対抗,対抗,対抗,対抗,41.23413408458436,0.10617067042292182,0.4506416153526771,0.8705994974679588,8.2
20260425_KYOTO_10,観月橋S 【見送りC:大混戦】,7,7,プルナチャンドラ,酒井,3,穴,穴,穴,穴,41.12845621198039,0.10564228105990195,0.48666002256637786,2.6938781670274996,25.5
20260425_KYOTO_10,観月橋S 【見送りC:大混戦】,11,8,アラレタバシル,鮫島駿,4,連下,連下,連下,連下,39.96834943095049,0.09984174715475246,0.3743537502980456,1.4077686348820095,14.1
20260425_KYOTO_10,観月橋S 【見送りC:大混戦】,5,5,ショウザンジョージ,国分優,5,連下,連下,連下,連下,39.768350442226534,0.09884175221113266,0.4014919873040344,3.014673442439546,30.5
20260425_KYOTO_10,観月橋S 【見送りC:大混戦】,3,3,ベンナヴェローチェ,団野,6,様子見,様子見,様子見,様子見,39.72127522431825,0.09860637612159123,0.42945572172032953,0.6803839952389795,6.9
20260425_KYOTO_10,観月橋S 【見送りC:大混戦】,8,7,プロミシングスター,田口,7,様子見,様子見,様子見,様子見,38.922841188372466,0.09461420594186233,0.35973729152379813,1.9206683806198055,20.3
20260425_KYOTO_10,観月橋S 【見送りC:大混戦】,9,8,タガノマカシヤ,岩田望,8,様子見,様子見,様子見,様子見,36.99463340739425,0.08497316703697122,0.3392475518485921,0.31440071803679354,3.7
20260425_KYOTO_10,観月橋S 【見送りC:大混戦】,10,8,パシアンジャン,松山,9,様子見,様子見,様子見,様子見,36.74232329677644,0.0837116164838822,0.32831446872704956,0.569238992090399,6.8
20260425_KYOTO_10,観月橋S 【見送りC:大混戦】,6,6,ケイアイメキラ,藤懸,10,様子見,様子見,様子見,様子見,32.840127726464935,0.06420063863232467,0.17164649393463782,4.314282916092218,67.2
20260425_KYOTO_10,観月橋S 【見送りC:大混戦】,2,2,マイノワール,浜中,11,様子見,様子見,様子見,様子見,31.36705837832791,0.056835291891639564,0.18475459698669988,0.6990740902671667,12.3
20260425_KYOTO_11,天王山S 【波乱B:ヒモ荒れ】,4,4,オーブルクール,原,1,軸,軸,軸,軸,45.18405378073251,0.12592026890366256,0.5253413772929518,3.1102306419204653,24.7
20260425_KYOTO_11,天王山S 【波乱B:ヒモ荒れ】,11,8,ドンアミティエ,松山,2,対抗,対抗,対抗,対抗,42.774297217129146,0.1138714860856457,0.42052709896442186,0.3530016068655017,3.1
20260425_KYOTO_11,天王山S 【波乱B:ヒモ荒れ】,7,6,ジョーローリット,角田和,3,穴,穴,穴,穴,41.018403667125966,0.10509201833562985,0.32034006941436033,0.756662532016535,7.2
20260425_KYOTO_11,天王山S 【波乱B:ヒモ荒れ】,10,7,ゲッティヴィラ,西村淳,4,連下,連下,連下,連下,40.1882980440804,0.10094149022040198,0.32617167627075666,0.5450840471901708,5.4
20260425_KYOTO_11,天王山S 【波乱B:ヒモ荒れ】,5,5,メイショウホウレン,浜中,5,連下,連下,連下,連下,38.509238740288055,0.0925461937014403,0.32584342023814444,0.6108048784295059,6.6
20260425_KYOTO_11,天王山S 【波乱B:ヒモ荒れ】,1,1,ケイアイアニラ,高杉,6,様子見,様子見,様子見,様子見,38.3272971559082,0.091636485779541,0.19146496765043103,1.5669839068301512,17.1
20260425_KYOTO_11,天王山S 【波乱B:ヒモ荒れ】,12,8,ファムエレガンテ,岩田望,7,様子見,様子見,様子見,様子見,37.19781850280677,0.08598909251403382,0.16923821708325576,0.6019236475982367,7.0
20260425_KYOTO_11,天王山S 【波乱B:ヒモ荒れ】,9,7,カズゴルティス,団野,8,様子見,様子見,様子見,様子見,36.836915362603065,0.08418457681301532,0.16279236208861633,2.727580288741696,32.4
20260425_KYOTO_11,天王山S 【波乱B:ヒモ荒れ】,6,5,ヒルノドゴール,幸,9,様子見,様子見,様子見,様子見,32.22595431073805,0.06112977155369021,0.27744476378244964,0.4645862638080456,7.6
20260425_KYOTO_11,天王山S 【波乱B:ヒモ荒れ】,8,6,ケイアイシェルビー,藤懸,10,様子見,様子見,様子見,様子見,29.711147046494176,0.048555735232470885,0.10493928747576618,6.977459152906066,143.7
20260425_KYOTO_11,天王山S 【波乱B:ヒモ荒れ】,3,3,ペプチドヤマト,高倉,11,様子見,様子見,様子見,様子見,29.316458933163553,0.04658229466581775,0.09896306956165418,1.658329690103112,35.6
20260425_KYOTO_11,天王山S 【波乱B:ヒモ荒れ】,2,2,ジュンウィンダム,国分優,12,様子見,様子見,様子見,様子見,28.71011723893014,0.043550586194650694,0.08318362111294317,4.241827095358977,97.4
20260425_KYOTO_12,4歳以上2勝クラス 【波乱B:ヒモ荒れ】,2,2,フェアリーライク,岩田望,1,軸,軸,軸,軸,45.48957464791923,0.1274478732395961,0.4480641229850413,0.3313644704229499,2.6
