race_id,race_date,venue,race_no,race_name,win_rank,gate_no,horse_no,horse_name,jockey_name,signal,confidence_label,ability_score,win_prob,top2_prob,top3_prob
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,9.0,14,14,メイショウツヨキ,武豊,様子見,D,38.07,0.0593,0.4187,0.4569
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,10.0,16,16,フォルテム,吉田隼人,様子見,D,32.3,0.0541,0.325,0.325
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,11.0,3,3,キャプテンシー,松山弘平,様子見,D,34.47,0.052,0.3658,0.3767
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,12.0,4,4,スリリングチェイス,亀田温心,様子見,D,32.46,0.0512,0.3132,0.3132
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,13.0,5,5,ウナギノボリ,鮫島克駿,様子見,D,31.59,0.0318,0.2096,0.2336
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,14.0,9,9,ミストレス,古川奈穂,様子見,D,27.82,0.0191,0.1586,0.1586
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,15.0,11,11,エアミアーニ,西塚洸二,様子見,D,27.98,0.0142,0.1903,0.192
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,16.0,17,17,サムハンター,富田暁,様子見,D,24.81,0.0107,0.0677,0.0748
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,17.0,10,10,スーサンアッシャー,城戸義政,様子見,D,24.84,0.0106,0.0738,0.0889
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,18.0,12,12,ショウナンラスボス,田口貫太,様子見,D,24.12,0.0104,0.0335,0.0677
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,1.0,15,15,クロワデュノール,北村友一,軸,S,67.67,0.191,0.8579,0.8579
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,2.0,4,4,ダノンデサイル,坂井瑠星,複勝圏,A,57.93,0.1666,0.7697,0.7784
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,3.0,6,6,メイショウタバル,武豊,能力注,B,53.37,0.1589,0.7187,0.7221
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,4.0,5,5,ショウヘイ,川田将雅,様子見,C,51.15,0.1426,0.6867,0.6867
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,5.0,12,12,レーベンスティール,ルメール,様子見,D,44.02,0.1078,0.5126,0.5661
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,6.0,8,8,エコロヴァルツ,浜中俊,様子見,D,33.74,0.045,0.2297,0.2836
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,7.0,3,3,セイウンハーデス,幸英明,様子見,D,30.25,0.032,0.1737,0.1912
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,8.0,7,7,エコロディノス,池添謙一,様子見,D,32.65,0.0304,0.2089,0.2801
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,9.0,11,11,デビットバローズ,岩田望来,様子見,D,31.33,0.0287,0.1721,0.2382
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,10.0,9,9,ヨーホーレイク,西村淳也,様子見,D,30.0,0.0243,0.1738,0.232
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,11.0,2,2,マテンロウレオ,横山典弘,様子見,D,31.21,0.0207,0.1525,0.1795
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,12.0,10,10,ボルドグフーシュ,松山弘平,様子見,D,26.03,0.0197,0.101,0.101
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,13.0,14,14,タガノデュード,古川吉洋,様子見,D,27.02,0.0176,0.1013,0.1157
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,14.0,13,13,ファウストラーゼン,岩田康誠,様子見,D,26.07,0.0103,0.1169,0.1381
